author_id,created_at,id,tweet
1118966460188065793,2023-01-18 18:20:05+00:00,1615776053296775171,"The #drama is hotter than ever on @sistasonbet, with over 1 million viewers every week. Stars @KJSmithofficial and @iamdevale dish about the return of the season on @BET, Wednesdays at 9/8c. 

#sponsored #SistasOnBET #TylerPerry #BET #Drama #Relationships https://t.co/DCt3xE9MQx"
263257931,2023-01-18 18:20:00+00:00,1615776031482286083,"ICYMI:

Was 50/1, NOW 80/1 👉 https://t.co/PlCX0MIrZW

#Ad 18+ BeGambleAware https://t.co/3CovnXOOfN"
14833304,2023-01-18 18:15:17+00:00,1615774847191105546,Upgrade your front porch now and you'll be *so* glad you did this spring. Advertiser content by @ashleyhomestore #ad https://t.co/tMJMAvC9WU
1230516935072321537,2023-01-18 18:11:53+00:00,1615773991049859072,"Reminder: We’re only six months into Ten Hag’s #mufc project 🤯

Did anyone expect him to turn things around this quickly? #ad https://t.co/7PxQPsQusP"
27310809,2023-01-18 18:10:24+00:00,1615773617345675277,"IT'S CHROMA CONCLAVE TIME!

I am so excited to announce that the Kingdom of Treble is partnering with @FANologyPV to bring you more @CriticalRole!

Join me the next four Fridays at 12pm CT as we watch #TheLegendOfVoxMachina S2! #sponsored

➡️: https://t.co/qdP9dTrEgC! https://t.co/gTAvZnUS2k"
2290164373,2023-01-18 18:08:30+00:00,1615773137634828289,#Ad It’s tax time again. Make this the year you #FileFearlessly! Head to https://t.co/YrO55PB3Cl and get the maximum tax refund you deserve. https://t.co/j2nAS7mxDF
868494434,2023-01-18 18:05:30+00:00,1615772383284969484,"CHELTENHAM ACCA!

TO WIN:
🏇 Allegorie De Vassy (Mares Ch)

TO PLACE:
🏇 Gerri Colombe (Browns)
🏇 Home By The Lee (Stayers)
🏇 Ashroe Diamond (Mares Hu)
🏇 Hiddenvalley Lake (Albert Bart)

👉https://t.co/rXrY9X9gmI

#AD | 18+ | BeGambleAware | Always Gamble Responsibly https://t.co/Lhqoehcy3y"
263257931,2023-01-18 17:54:30+00:00,1615769614419378203,"NEW BET UK CUSTOMERS! 🔥

Bet £10 and get Get £30 in FREE BETS for tonight's FA Cup action!

Join HERE: https://t.co/tKODamg4rv

#Ad | New Customer Offer | 18+ | T&amp;Cs Apply | BeGambleAware https://t.co/IbCpJTzVqu"
28955739,2023-01-18 17:50:09+00:00,1615768521673433088,Returnal (Steam) pre-purchase is $49.19 on GMG w/ code JAN18 https://t.co/9Lb1eMjigN #ad https://t.co/c5QzJF2j60
76919389,2023-01-18 17:50:00+00:00,1615768482099994636,"💰 £50 FREE BETS AVAILABLE TODAY 💰

Place a £10 bet to receive £50 in free bets when you sign up to bet365 here 🤝 ⬇️

👉 https://t.co/71pRD7SobY 👈

*New Customer Offer*

🔞 T&amp;C's Apply. https://t.co/lFPHHuqzCI #Ad https://t.co/tWssfRwAcR"
14933526,2023-01-18 17:48:02+00:00,1615767988535234560,"Do you think you might have Long COVID? Help is at hand locally.
#AD @HCPortsmouth #Covid #LongCovid #Coronavirus #NHS #Covidsymptoms #support #Portsmouth 

https://t.co/711Q4MoPq4"
1861463724,2023-01-18 17:40:46+00:00,1615766161005903872,"Tomorrow I will be taking part in the Samsung #OdysseyShowdown, vs @idreau_ Who are you rooting for?👀
Join us live on the Samsung Odyssey channel at 8pm CET to find out who wins.
We’re also giving away a Samsung Odyssey Neo G9 live!
To enter ➡️ https://t.co/iIJO9uiD6G #ad https://t.co/Jn7ncJV1Hi"
451612382,2023-01-18 17:36:00+00:00,1615764958825807884,"Not with BetUK already? You can still get their welcome offer!

Bet £10 on any of tonight's games, including the scheduled #FACup replays, and they'll credit your account with £30 in free bets! ⚽️👏

New Customer Offer | T&amp;C's Apply | BeGambleAware | 18+ #AD"
28955739,2023-01-18 17:29:49+00:00,1615763404236673024,Western Digital 1TB WD Blue SN570 NVMe Internal Solid State Drive SSD Gen3 is $57.85 on Amazon https://t.co/BRVISFCpqI #ad
